# 由 tools/ime-kaomoji/mkkaomoji.py 生成，不要手改。颜文字<Tab>关键词，常用的在前。
(｡-ω-)zzz	困 好困 睡 犯困 ねむい 眠い
(^_^)/~~	再见 拜拜 回头见 下次见 さようなら ばいばい またね
ヾ(・ω・)ﾉ	再见 拜拜 走了 先走了 ばいばい またね 回头见 じゃあね
(・ω・)ﾉｼ	拜拜 再见 回头见 ばいばい またね
(´-ω-`)	累 好累 疲惫 心累 唉 叹气 疲れた つかれた しんどい はぁ
(;´Д`)	累 好累 累死 热 受不了 疲れた しんどい
_(:3 」∠)_	累 躺平 摆烂 瘫 不想动 郁闷 ぐったり だらだら
＿|￣|○	失败 沮丧 完蛋 绝望 がっくり 失望 絶望 がくーり 难过
(*´ڡ`●)	好吃 美味 馋 吃 吃货 干饭 おいしい 美味しい ぺろ 调皮 笑
(๑´ڡ`๑)	好吃 馋 美味 吃 おいしい 美味しい ぺろ 调皮 ぺろっ 笑
(っ´ω`)っ🍙	饿 好饿 吃饭 吃 お腹すいた ごはん
( ˘ω˘ )🍜	吃饭 面 拉面 饿 ラーメン ごはん
(　´･ω･)つ旦	喝茶 茶 休息 下午茶 お茶 休憩
( ˘ω˘)っ☕	咖啡 喝咖啡 休息 摸鱼 コーヒー 休憩
(*ﾟ∀ﾟ)ﾜｸﾜｸ	期待 好期待 等不及 激动 兴奋 ワクワク わくわく 楽しみ
o(≧▽≦)o	期待 兴奋 激动 好耶 楽しみ ワクワク
(๑✧∀✧๑)	期待 心动 兴奋 哇 キラキラ ワクワク
((((；ﾟДﾟ)))	害怕 怕 吓死 恐怖 紧张 发抖 こわい 怖い ガクブル
(´⊙ω⊙`)	害怕 紧张 慌 こわい どきどき
(￣▽￣)ドヤ	得意 骄傲 厉害 我太强了 完美 ドヤ どや 最強
( ｰ̀εｰ́ )	得意 骄傲 哼哼 ドヤ どや
(｀・ω・´)ｷﾘｯ	认真 帅 酷 严肃 きりっ しんけん
(๑•̀ㅁ•́๑)✧	帅 酷 厉害 自信 きりっ 认真 笑
(・・?)	为什么 疑问 什么 怎么了 啥 なぜ なんで はてな
(´・ω・)?	为什么 怎么 嗯 疑问 是吗 なぜ はてな
( ˙꒳˙ )?	什么 啥 啊 懵 はてな 疑问 ぽかーん 发呆
(-_-)ｳｰﾝ	想想 思考 纠结 嗯 让我想想 うーん 考え中
( ˘•ω•˘ )	思考 纠结 嗯 うーん
(´・ω・)ﾉ(._.`)ﾖｼﾖｼ	摸摸 安慰 摸头 乖 没事 别哭 よしよし なでなで
(っ´▽`)っ	抱抱 安慰 抱 ぎゅー ハグ
⊂(・ω・*)⊃	抱抱 来抱 欢迎 ぎゅー
(*ﾟ▽ﾟ)ﾉﾊﾟﾁﾊﾟﾁ	鼓掌 厉害 好棒 太棒了 棒棒 赞 666 すごい パチパチ いいね 点赞
８８８８８８(ﾟ∀ﾟ)８８８８８８	鼓掌 厉害 太强了 666 パチパチ すごい
|ω・)	偷看 看看 瞄 围观 ちらっ チラッ じー
|ω・｀)ﾁﾗｯ	偷看 瞄 偷偷 ちらっ チラッ
( ˘ω˘ )🍉	吃瓜 围观 看戏
ε=ε=ε=┌(;￣▽￣)┘	快跑 跑 溜了 逃 赶紧 ダッシュ 逃げる にげる
ε≡≡ヘ( ´∀`)ノ	溜了 跑 冲 出发 ダッシュ いってきます
(╯°□°）╯︵ ┻━┻	掀桌 崩溃 抓狂 受不了 气炸 ちゃぶ台 キレる ちゃぶだい
(ﾉಠ益ಠ)ﾉ彡┻━┻	掀桌 气炸 愤怒 ちゃぶ台 キレる
( ˙꒳˙ )	发呆 呆 懵 哦 ぽかーん ぼー
( ﾟдﾟ)ﾎﾟｶｰﾝ	发呆 懵 懵了 愣住 ぽかーん ぼうぜん
(´・ω・｀)	失望 郁闷 沮丧 唉 难过 不开心 しょぼーん しょんぼり 失落 がっかり
(´-﹏-`；)	郁闷 难受 纠结 emo しょんぼり 失落 あせ 汗 尴尬
(((´･ω･`)))ｻﾑｲ	冷 好冷 冻死 冬天 寒い さむい
⛄(´ω`)	下雪 冬天 雪 冷 ゆき 冬
(;´Д`)ｱﾂｲ	热 好热 热死 夏天 暑い あつい 夏
☂(・ω・)	下雨 雨 雨天 あめ
(=^・ω・^=)	猫 猫咪 喵 小猫 撸猫 ねこ にゃー にゃん
ฅ^•ﻌ•^ฅ	猫 喵 猫咪 可爱 ねこ にゃん
ฅ(^ω^ฅ)	喵 猫 撒娇 にゃん にゃー
U•ᴥ•U	狗 狗狗 小狗 汪 いぬ 犬 わんわん
∪･ω･∪	狗 汪 小狗 いぬ 犬 わん
ʕ•ᴥ•ʔ	熊 小熊 可爱 くま
(・x・)	兔子 兔 小兔子 うさぎ
♪(´ε｀ )	唱歌 音乐 听歌 哼歌 歌 うた 音楽
ヽ(°〇°)ﾉ♪	唱歌 嗨 蹦迪 歌 うた
( ˘ω˘ )ｶﾀｶﾀ	上班 工作 加班 打字 写代码 仕事 作業
_(┐「ε:)_	加班 累死 工作 不想上班 残業 仕事 疲れた ばた たかざわじゅんすけ
(つд⊂)ｴｰﾝ	考试 作业 学习 救命 テスト 勉強 宿題 えーん 哭 呜呜 难过
ヽ(=´▽`=)ﾉ	放假 周末 假期 旅行 出去玩 休み 週末 わーい 开心 好耶 耶 ばんざい 万岁
(*´∀`)♪	开心 轻松 周末 哼歌 るんるん
( ´ ▽ ` )ﾉﾖｳｺｿ	欢迎 欢迎欢迎 ようこそ いらっしゃい
(・ω・)ﾉ🌙	晚上好 晚上 こんばんは
(•ө•)♡	はーと 爱 喜欢 笑
•̀.̫•́✧	きりっ 认真 帅 笑
ʕ•̀ω•́ʔ✧	どうぶつ 动物 笑
ʕ•ٹ•ʔ	どうぶつ 动物 笑
ლ(´ڡ`ლ)	ぺろ 调皮 おいしい 好吃 美味 笑
(･ิω･ิ)	まゆ 笑
٩(๑´3｀๑)۶	ばんざい 万岁 好耶 笑
( ･ิϖ･ิ)	まゆ 笑
(ㆁωㆁ*)	てれ 害羞 笑
٩(♡ε♡ )۶	はーと 爱 喜欢 笑
(　･ิω･ิ)	まゆ きり 认真 きりっ 帅 笑
❤(ӦｖӦ｡)	てれ 害羞 はーと 爱 喜欢 笑
( ･ิω･ิ)	まゆ きり 认真 きりっ 帅 笑
:D	よこおき にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
:)	よこおき すまいる 微笑 またね 回头见 拜拜 笑
;)	よこおき うぃんく 眨眼 ういんく にこにこ 笑 微笑 开心 にこっ にこ
:-)	よこおき すまいる 微笑 こんにちは 你好 なんちゃって 笑
(●´ϖ`●)	にこ 笑 微笑 にこにこ 开心 にこっ
＼(^o^)／	にこにこ 笑 微笑 开心 にこっ にこ ばんざい 万岁 好耶 おわた 完蛋 完了 おーい 喂 你好 はーい 好的
(^o^)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
(^^)	にこにこ 笑 微笑 开心 にこっ にこ
(^^)/	にこにこ 笑 微笑 开心 おーい 喂 你好 はーい 好的 ではでは 再见
(^^)v	にこにこ 笑 微笑 开心 にこっ にこ ぶい 耶 ぴーす
(^_^)	にこにこ 笑 微笑 开心 にこっ にこ
(^_^)v	にこにこ 笑 微笑 开心 にこっ にこ ぶい 耶 ぴーす
(*^^*)	にこにこ 笑 微笑 开心 にこっ にこ
^_^	にこっ 微笑 にこ 笑
(*´ω｀*)	てれ 害羞 笑
(>ω<)	うれしい 开心 高兴 笑
(・∀・)	にこにこ 笑 微笑 开心 にこっ にこ
(*^_^*)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
ヾ(｡>﹏<｡)ﾉﾞ✧*。	うれしい 开心 高兴 笑
(*>_<*)ﾉ	てれ 害羞 笑
(｡>﹏<｡)	てれ 害羞 はずかしい 笑
(*´∀｀)	てれ 害羞 笑
(^_-)	にこにこ 笑 微笑 开心 ういんく 眨眼 うぃんく
( ´∀｀)	もなー にこ 笑 微笑 にこにこ 开心 にこっ
(≧∇≦)b	うれしい 开心 高兴 いい 好 いいね 点赞 赞 笑
(^^♪	にこにこ 笑 微笑 开心 にこっ にこ
(*^^)v	にこにこ 笑 微笑 开心 にこっ にこ ぶい 耶 ぴーす
(^o^)v	にこにこ 笑 微笑 开心 にこっ にこ ぶい 耶 ぴーす
ヽ(^o^)丿	にこにこ 笑 微笑 开心 ばんざい 万岁 好耶
(^_^)/	にこにこ 笑 微笑 开心 にこっ にこ おーい 喂 你好 はーい 好的
(^_-)-☆	にこにこ 笑 微笑 开心 ういんく 眨眼 うぃんく
(^o^)／	にこにこ 笑 微笑 开心 おーい 喂 你好 はーい 好的
(*ﾟ∀ﾟ)	にこ 笑 微笑 にこにこ 开心 にこっ つー
(*^。^*)	にこにこ 笑 微笑 开心 にこっ にこ
(^o^)丿	にこにこ 笑 微笑 开心 にこっ にこ はーい 好的 你好 てをあげて
ヽ(^。^)ノ	にこにこ 笑 微笑 开心 にこっ にこ ばんざい 万岁 好耶
(ﾉ´∀｀*)	てれ 害羞 笑
(^。^)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
(^O^)v	ぶい 耶 ぴーす 笑
(￣ー￣)ﾆﾔﾘ	にやり 坏笑 得意 笑
(^_^.)	にこにこ 笑 微笑 开心 にこっ にこ
(^・^)	にこにこ 笑 微笑 开心 にこっ にこ
(^^)/~~~	ばいばい 拜拜 再见 さようなら さよなら 笑
(^ム^)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
(@^^)/~~~	ばいばい 拜拜 再见 さようなら さよなら 笑
(^.^)/~~~	ばいばい 拜拜 再见 さようなら さよなら 笑
（ ・∀・）	もららー 笑
( •̀ㅁ•́;)	あせ 汗 尴尬
(¯―¯٥)	なみだ 哭 泪目 なく 难过 汗
(ㆀ˘･з･˘)	あせ 汗 尴尬
^^;	にこにこ 笑 微笑 开心 あせ 汗 尴尬 ぎくっ 心虚 ぽりぽり 挠头
(-_-;)	ぎくっ 尴尬 心虚 あせ 汗 じろ 盯 じとっ 无语 じと じとー 不爽
(~_~;)	あせ 汗 尴尬 ほへー 发呆 不爽
^_^;	にこにこ 笑 微笑 开心 あせ 汗 尴尬 ぎくっ 心虚 ぽりぽり 挠头
(・・;)	びくっ 吓 びっくり 惊讶 吃惊 めがてん あせ 汗 尴尬
(^^ゞ	にこにこ 笑 微笑 开心 あせ 汗 尴尬 ぎくっ 心虚 ぽりぽり 挠头
(；´Д｀)	あせ 汗 尴尬 はぁはぁ
(^o^;)	わーい 开心 好耶 耶 にこ 笑 微笑 にこにこ にこっ あせ 汗 尴尬 ぎくっ 心虚
(；・∀・)	ぎくっ 尴尬 心虚 あせ 汗
(；´∀｀)	あせ 汗 尴尬
(-.-;)	じとっ 无语 じと じとー ぎくっ 尴尬 心虚 汗 不爽
(*_*;	びくっ 吓 びっくり 惊讶 吃惊 めがてん あせ 汗 尴尬
(ーー;)	ぎくっ 尴尬 心虚 あせ 汗 じろ 盯 じとっ 无语 じと じとー
(＠_＠;)	びくっ 吓 びっくり 惊讶 吃惊 めがてん あせ 汗 尴尬
(； ･`д･´)	あせ 汗 尴尬 まゆ
（；^ω^）	あせ 汗 尴尬
(；一_一)	じろ 盯 じとっ 无语 じと じとー あせ 汗 尴尬 不爽
(^o^;	ぎくっ 尴尬 心虚 あせ 汗
(゜o゜;	ぎくっ 尴尬 心虚 びっくり 惊讶 吃惊 めがてん あせ 汗 えっと 嗯 えーと
(・。・;	あせ 汗 尴尬 めがてん 惊讶 びくっ 吓
(_ _;)	ぺこり 鞠躬 谢谢 おじぎ あせ 汗 尴尬 ごめん 对不起 抱歉 ごめんなさい 难过
(^.^;	にこにこ 笑 微笑 开心 あせ 汗 尴尬 ぎくっ 心虚 ぽりぽり 挠头
m(_ _;)m	ぺこり 鞠躬 谢谢 おじぎ あせ 汗 尴尬 ごめん 对不起 抱歉 ごめんなさい 难过
(^O^;)	わーい 开心 好耶 耶 にこっ 微笑 にこ 笑 にこにこ あせ 汗 尴尬
Σ(´∀｀；)	どきっ 心动 あせ 汗 尴尬
(・・;	めがてん 惊讶 なぜ 为什么 なぞ 疑问 はてな あせ 汗 尴尬 ぎくっ 心虚
(~O~;)	ほへー 发呆 あせ 汗 尴尬 不爽
(・.・;)	めがてん 惊讶 あせ 汗 尴尬 びっくり 吃惊 びくっ 吓
(=o=;)	てつやあけ 熬夜 あせ 汗 尴尬 ねむい 困 不爽
(@@;)	びくっ 吓 びっくり 惊讶 吃惊 めがてん あせ 汗 尴尬
(✽ ﾟдﾟ ✽)	ぽかーん 发呆 懵 びっくり 惊讶 吃惊
( ﾟдﾟ)	ぽかーん 发呆 懵 惊讶 OTHER
＼(◎o◎)／	びっくり 惊讶 吃惊
(@_@)	びくっ 吓 びっくり 惊讶 吃惊 めがてん OTHER
(*_*)	びくっ 吓 びっくり 惊讶 吃惊 めがてん OTHER
(+_+)	びくっ 吓 びっくり 惊讶 吃惊 まぶしい うーん 嗯 思考 OTHER
ε≡≡ﾍ( ´Д`)ﾉ	だっしゅ 跑 惊讶 OTHER
:-O	よこおき さけび 喊 ぼうぜん 懵 惊讶 OTHER
:-|	よこおき どうしましょう・・ 惊讶 OTHER
(・o・)	びくっ 吓 びっくり 惊讶 吃惊 めがてん ぽかーん 发呆 懵 OTHER
(゜o゜)	おーい 喂 你好 惊讶 OTHER
(゜-゜)	うーん 嗯 思考 えっと えーと 惊讶 OTHER
(゜゜)	うーん 嗯 思考 えっと えーと 惊讶 OTHER
(?_?)	なぜ 为什么 なぞ 疑问 はてな 惊讶 OTHER
(´°̥̥̥̥̥̥̥̥ω°̥̥̥̥̥̥̥̥｀)	なみだ 哭 泪目 なく 难过
(｡ŏ﹏ŏ)	うーん 嗯 思考 难过
(๑´•.̫ • `๑)	しょぼーん 失望 郁闷 难过
(´ . .̫ . `)	しょぼーん 失望 郁闷 难过
( ･ั﹏･ั)	うーん 嗯 思考 难过
٩(๑´0`๑)۶	うわーん 大哭 难过
(･ัω･ั)	うーん 嗯 思考 难过
(*´﹃｀*)	だらー 汗 难过
(T_T)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(;_;)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん うるうる 感动
(´・ω・`)	しょぼーん 失望 郁闷 がっくり がくーり しょんぼり 失落 难过
m(__)m	ぺこり 鞠躬 谢谢 ごめん 对不起 抱歉 ごめんなさい おじぎ 难过
(._.)	ぺこり 鞠躬 谢谢 どれどれ ごめんなさい 对不起 抱歉 ごめん 难过
(ToT)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(_ _)	ぺこり 鞠躬 谢谢 ごめん 对不起 抱歉 ごめんなさい おじぎ 难过
( ；∀；)	なみだ 哭 泪目 しくしく 呜呜 なく 难过 えーん
(TT)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(__)	ぺこり 鞠躬 谢谢 ごめん 对不起 抱歉 ごめんなさい おじぎ 难过
(/_;)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(:_;)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん うるうる 感动
(ヽ´ω`)	ぐったり 累 げっそり 难过
_(._.)_	ぺこり 鞠躬 谢谢 ごめん 对不起 抱歉 ごめんなさい おじぎ 难过
(;O;)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(ToT)/~~~	ばいばい 拜拜 再见 さようなら さよなら 难过
｡･ﾟ･(ﾉД`)･ﾟ･｡	なみだ 哭 泪目 しくしく 呜呜 えーん 难过
(´；ω；｀)ﾌﾞﾜｯ	ぶわっ なみだ 哭 泪目 なく 难过 しくしく 呜呜
(;_;)/~~~	ばいばい 拜拜 再见 さようなら さよなら なみだ 哭 泪目 なく 难过 えーん 呜呜
(TдT)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(´Д⊂ヽ	しくしく 哭 呜呜 なみだ 泪目 えーん 难过
(TOT)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(;_:)	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(´；ω；｀)ｳｯ…	うっ なみだ 哭 泪目 なく 难过 しくしく 呜呜
_(_^_)_	ぺこり 鞠躬 谢谢 ごめん 对不起 抱歉 ごめんなさい おじぎ 难过
｡･ﾟ･(ﾉ∀`)･ﾟ･｡	なみだ 哭 泪目 なく 难过 えーん 呜呜
( ´Д｀)=3	ためいき 叹气 はぁ 唉 难过 不爽
(;_;	しくしく 哭 呜呜 なみだ 泪目 うるうる 感动 难过
(ﾉД`)ｼｸｼｸ	しくしく 哭 呜呜 なみだ 泪目 なく 难过 えーん
(T_T)/~~~	ばいばい 拜拜 再见 さようなら さよなら 难过
(´д⊂)‥ﾊｩ	はぅ 难过
٩(๑òωó๑)۶	むか 生气 むかっ むきー 气死 ぷんぷん 哼 不爽
(-_-)	じとっ 无语 じと じとー むっ 不爽
(-.-)	じとっ 无语 じと じとー むっ 不爽
(=_=)	てつやあけ 熬夜 てつや ねむい 困 不爽
(~o~)	ほへー 发呆 不爽
((+_+))	うーん 嗯 思考 不爽
(~_~)	ほへー 发呆 不爽
(--)	むか 生气 不爽
(・へ・)	むか 生气 不爽
(ー_ー;)	じろ 盯 じとっ 无语 じと じとー あせ 汗 尴尬 不爽
(-_-メ)	むか 生气 不爽
(# ﾟДﾟ)	いかり 愤怒 むか 生气 不爽
(=_=;)	てつやあけ 熬夜 ねむい 困 不爽
(ー_ー)	じとっ 无语 じとー 不爽
(ーー゛)	むか 生气 不爽
( 一一)	じろ 盯 じとー 无语 じと じとっ 不爽
(｀´）	むか 生气 むかー 不爽
(－－〆)	むか 生气 むかー 不爽
(#･∀･)	いかり 愤怒 きー 抓狂 不爽
(~_~メ)	むか 生气 むかー 不爽
(^_^メ)	にこにこ 笑 微笑 开心 むか 生气 ぴくぴく やくざ 不爽
(~O~)	ほへー 发呆 不爽
:(	よこおき おこる 生气 かなしい 难过 伤心 やだね～ 不爽
:-(	よこおき おこる 生气 かなしい 难过 伤心 やだね～ 不爽
:|	よこおき しんけん 认真 不爽
:-P	よこおき したぺろり 调皮 不爽
・ω・	にこ 笑 微笑
☆彡	きらきら 闪亮 星星 ほし ながれぼし 流星 OTHER
(^O^)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
(*´∀｀*)	てれ 害羞 またーり うっとり 陶醉 笑
(^O^)／	にこにこ 笑 微笑 开心 おーい 喂 你好 はーい 好的
(^○^)	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
(ﾟ∀ﾟ)	あひゃ びっくり 惊讶 吃惊 めがてん OTHER
(´ε｀ )	ちゅっ 亲亲 OTHER
☆ミ	きらきら 闪亮 星星 ほし ながれぼし 流星 OTHER
(^q^)	にこにこ 笑 微笑 开心 にこっ にこ よだれ 馋
