# 近几年日本常用的颜文字，按主题排。每行：颜文字<Tab>中文关键词<Tab>日文关键词（空格分隔）。
# 同一主题里越靠前越常用；打出的词里含有关键词时出现在候选里（见 mkkaomoji.py）。
( ᐪ ᐪ )	难过 伤心 哭 委屈 呜呜 想哭	ぴえん 悲しい かなしい
(´；ω；｀)	难过 伤心 哭 呜呜 呜呜呜 泪目 感动	悲しい かなしい 泣く なく
(╥﹏╥)	难过 哭 呜呜 伤心 心碎	泣く なく 悲しい
( ; ; )	哭 难过 伤心 委屈	泣く なく
｡ﾟ(ﾟ´Д｀ﾟ)ﾟ｡	大哭 哭了 呜呜呜 太难了 崩溃	うわーん 泣く えーん
(՞ ܸ. .ܸ՞)	委屈 难过 可怜 呜呜	ぴえん しょんぼり
(；▽；)	感动 泪目 太感动了	感動 尊い
(｀へ´)	生气 哼 讨厌 不爽 气死	怒る おこ むかつく ぷんぷん
(#`Д´)	生气 气死 愤怒 可恶	怒る むかつく いかり
٩(๑`^´๑)۶	生气 哼 讨厌 烦	おこ ぷんぷん
( ˙-˙ )	无语 冷漠 呵呵 哦 不爽	真顔 無
(・_・;)	尴尬 汗 无语 呃 额 啊这	あせ 汗 苦笑
(￣▽￣;)	尴尬 汗 苦笑 无奈 呵呵	苦笑 あせ
(^_^;)	汗 尴尬 苦笑 不好意思	あせ 苦笑
┐(￣ヘ￣)┌	无奈 算了 没办法 随便	やれやれ しかたない
¯\_(ツ)_/¯	无所谓 不知道 随便 无奈	しらない さあ
Σ(ﾟДﾟ)	惊讶 吃惊 天哪 天啊 卧槽 震惊 居然	びっくり 驚く えっ
(ﾟДﾟ;)	惊讶 震惊 什么 不会吧 真的吗	びっくり まじ
(ﾟoﾟ;)	惊讶 哇 啊	びっくり えっ
(⊙_⊙)	惊呆 震惊 懵	びっくり ぽかーん
(〃ω〃)	害羞 脸红 不好意思 羞	照れ てれ はずかしい 恥ずかしい
(*/ω＼*)	害羞 捂脸 不好意思 羞死了	はずかしい 恥ずかしい てれ
(,,>﹏<,,)	害羞 紧张 不好意思	はずかしい
(⸝⸝ᵕᴗᵕ⸝⸝)	害羞 脸红 嘿嘿	照れ てれ
(♡´▽`♡)	喜欢 爱 爱你 心动 好喜欢	好き すき 大好き 愛 ラブ
(´ε｀ )♡	爱你 亲亲 么么哒 喜欢	ちゅっ 好き
(づ￣ ³￣)づ	亲亲 么么哒 抱抱 爱你	ちゅっ ぎゅー
(*˘︶˘*).｡.:*♡	幸福 喜欢 爱 甜	幸せ しあわせ 好き
♡(ˊᗜˋ*)♡	比心 爱你 喜欢	好き 大好き
(ᐢ. ̫ .ᐢ)	可爱 萌 好萌 软萌 呆萌	かわいい 可愛い
₍ᐢ. ̫.ᐢ₎	可爱 萌 小可爱	かわいい 可愛い
( ˶'ᵕ'˶)	可爱 乖 萌 开心	かわいい 可愛い
ᐠ( ᐢ ᵕ ᐢ )ᐟ	可爱 萌 开心 耶	かわいい
(๑´ㅂ`๑)	可爱 期待 开心	かわいい
٩(ˊᗜˋ*)و	加油 努力 冲 奋斗 必胜 冲鸭	がんばれ 頑張れ 頑張る ファイト がんばる
(ง •̀_•́)ง	加油 努力 奋斗 拼了 冲 干吧	がんばれ 頑張る ファイト
(๑•̀ㅂ•́)و✧	加油 好的 收到 没问题 冲 厉害	よし がんばる ぐっ
ᕦ(ò_óˇ)ᕤ	加油 力量 健身 努力	筋トレ がんばる
(｀・ω・´)ゞ	收到 好的 明白 了解 遵命 没问题	了解 りょうかい 承知
( ´ ▽ ` )b	好的 可以 不错 没问题 点赞	おけ いいね
(*ˊᗜˋ)b	好的 可以 棒 赞	おっけー いいね
(ゝω・)v	好的 耶 嘿嘿 调皮	ぶい ぴーす
(人・ω・)	拜托 求求 求你 请 帮帮我	お願い おねがい たのむ
(*´人`*)ｵﾈｶﾞｲ	拜托 求求你 求求	お願い おねがい
(・ω・)ﾉ	你好 嗨 哈喽 在吗 喂	こんにちは やあ はろー
( ´ ▽ ` )ﾉ	你好 嗨 哈喽 在吗	こんにちは やあ
ヾ(＾∇＾)	你好 嗨 欢迎	こんにちは やっほー
(*´▽`)ﾉおはよう	早 早安 早上好 早啊	おはよう
ヽ(・∀・)ﾉおはよー	早安 早上好 起床了	おはよう
( ˘ω˘ )ｽﾔｧ	晚安 睡觉 睡了 困 好困	おやすみ ねむい 眠い 寝る すやすや
(˘ω˘)ｵﾔｽﾐ	晚安 睡觉 睡了	おやすみ
(-_-)zzz	睡觉 困 好困 睡着了	ねむい 眠い ねる 寝る
(｡-ω-)zzz	困 好困 睡 犯困	ねむい 眠い
(^_^)/~~	再见 拜拜 回头见 下次见	さようなら ばいばい またね
ヾ(・ω・)ﾉ	再见 拜拜 走了 先走了	ばいばい またね じゃあね
(・ω・)ﾉｼ	拜拜 再见 回头见	ばいばい またね
(´-ω-`)	累 好累 疲惫 心累 唉 叹气	疲れた つかれた しんどい はぁ
(;´Д`)	累 好累 累死 热 受不了	疲れた しんどい
_(:3 」∠)_	累 躺平 摆烂 瘫 不想动 郁闷	ぐったり だらだら
＿|￣|○	失败 沮丧 完蛋 绝望	がっくり 絶望
(*´ڡ`●)	好吃 美味 馋 吃 吃货 干饭	おいしい 美味しい
(๑´ڡ`๑)	好吃 馋 美味 吃	おいしい 美味しい ぺろ
(っ´ω`)っ🍙	饿 好饿 吃饭 吃	お腹すいた ごはん
( ˘ω˘ )🍜	吃饭 面 拉面 饿	ラーメン ごはん
(　´･ω･)つ旦	喝茶 茶 休息 下午茶	お茶 休憩
( ˘ω˘)っ☕	咖啡 喝咖啡 休息 摸鱼	コーヒー 休憩
(*ﾟ∀ﾟ)ﾜｸﾜｸ	期待 好期待 等不及 激动 兴奋	ワクワク わくわく 楽しみ
o(≧▽≦)o	期待 兴奋 激动 好耶	楽しみ ワクワク
(๑✧∀✧๑)	期待 心动 兴奋 哇	キラキラ ワクワク
((((；ﾟДﾟ)))	害怕 怕 吓死 恐怖 紧张 发抖	こわい 怖い ガクブル
(´⊙ω⊙`)	害怕 紧张 慌	こわい どきどき
(￣▽￣)ドヤ	得意 骄傲 厉害 我太强了 完美	ドヤ どや 最強
( ｰ̀εｰ́ )	得意 骄傲 哼哼	ドヤ どや
(｀・ω・´)ｷﾘｯ	认真 帅 酷 严肃	きりっ しんけん
(๑•̀ㅁ•́๑)✧	帅 酷 厉害 自信	きりっ
(・・?)	为什么 疑问 什么 怎么了 啥	なぜ なんで はてな
(´・ω・)?	为什么 怎么 嗯 疑问 是吗	なぜ はてな
( ˙꒳˙ )?	什么 啥 啊 懵	はてな ぽかーん
(-_-)ｳｰﾝ	想想 思考 纠结 嗯 让我想想	うーん 考え中
( ˘•ω•˘ )	思考 纠结 嗯	うーん
(´・ω・)ﾉ(._.`)ﾖｼﾖｼ	摸摸 安慰 摸头 乖 没事 别哭	よしよし なでなで
(っ´▽`)っ	抱抱 安慰 抱	ぎゅー ハグ
⊂(・ω・*)⊃	抱抱 来抱 欢迎	ぎゅー
(*ﾟ▽ﾟ)ﾉﾊﾟﾁﾊﾟﾁ	鼓掌 厉害 好棒 太棒了 棒棒 赞 666	すごい パチパチ いいね
８８８８８８(ﾟ∀ﾟ)８８８８８８	鼓掌 厉害 太强了 666	パチパチ すごい
|ω・)	偷看 看看 瞄 围观	ちらっ チラッ じー
|ω・｀)ﾁﾗｯ	偷看 瞄 偷偷	ちらっ チラッ
( ˘ω˘ )🍉	吃瓜 围观 看戏	
ε=ε=ε=┌(;￣▽￣)┘	快跑 跑 溜了 逃 赶紧	ダッシュ 逃げる にげる
ε≡≡ヘ( ´∀`)ノ	溜了 跑 冲 出发	ダッシュ いってきます
(╯°□°）╯︵ ┻━┻	掀桌 崩溃 抓狂 受不了 气炸	ちゃぶ台 キレる
(ﾉಠ益ಠ)ﾉ彡┻━┻	掀桌 气炸 愤怒	ちゃぶ台 キレる
( ˙꒳˙ )	发呆 呆 懵 哦	ぽかーん ぼー
( ﾟдﾟ)ﾎﾟｶｰﾝ	发呆 懵 懵了 愣住	ぽかーん ぼうぜん
(´・ω・｀)	失望 郁闷 沮丧 唉 难过 不开心	しょぼーん しょんぼり がっかり
(´-﹏-`；)	郁闷 难受 纠结 emo	しょんぼり
(((´･ω･`)))ｻﾑｲ	冷 好冷 冻死 冬天	寒い さむい
⛄(´ω`)	下雪 冬天 雪 冷	雪 ゆき 冬
(;´Д`)ｱﾂｲ	热 好热 热死 夏天	暑い あつい 夏
☂(・ω・)	下雨 雨 雨天	雨 あめ
(=^・ω・^=)	猫 猫咪 喵 小猫 撸猫	ねこ 猫 にゃー にゃん
ฅ^•ﻌ•^ฅ	猫 喵 猫咪 可爱	ねこ 猫 にゃん
ฅ(^ω^ฅ)	喵 猫 撒娇	にゃん にゃー
U•ᴥ•U	狗 狗狗 小狗 汪	いぬ 犬 わんわん
∪･ω･∪	狗 汪 小狗	いぬ 犬 わん
ʕ•ᴥ•ʔ	熊 小熊 可爱	くま 熊
(・x・)	兔子 兔 小兔子	うさぎ
♪(´ε｀ )	唱歌 音乐 听歌 哼歌	歌 うた 音楽
ヽ(°〇°)ﾉ♪	唱歌 嗨 蹦迪	歌 うた
( ˘ω˘ )ｶﾀｶﾀ	上班 工作 加班 打字 写代码	仕事 作業
_(┐「ε:)_	加班 累死 工作 不想上班	残業 仕事 疲れた
(つд⊂)ｴｰﾝ	考试 作业 学习 救命	テスト 勉強 宿題
ヽ(=´▽`=)ﾉ	放假 周末 假期 旅行 出去玩	休み 週末 旅行
(*´∀`)♪	开心 轻松 周末 哼歌	るんるん
( ´ ▽ ` )ﾉﾖｳｺｿ	欢迎 欢迎欢迎	ようこそ いらっしゃい
(・ω・)ﾉ🌙	晚上好 晚上	こんばんは
